Age	LG	MG	HG	SiO2	Al2O3	Fe2O3	FeO	CaO	MgO	Na2O	K2O	TiO2
3	21.07	76.02	2.91	70.42	14.2	5.57	0.22	0.22	0.15	0.13	2.41	0.67
3	14.88	76.39	8.73	60.8	21.82	5.06	0.19	0.22	0.19	0.22	2.95	0.51
2	25.62	74.07	0.31	70.14	16.93	3.13	0.16	0.29	0.2	0.2	0.71	0.58
2	18.08	68.85	13.07	60.01	23.34	2.97	0.14	0.21	0.15	0.2	4.05	0.81
1	18.02	81.04	0.94	58.1	21.95	6.56	0.24	0.27	0.33	0.2	3.51	0.75
1	33.9	65.83	0.27	68.39	18.63	2.23	0.17	0.25	0.33	0.2	2.95	0.6
2	17.58	74.45	7.97	64.84	19.6	3.37	0.15	0.22	0.24	0.2	2.95	0.68
2	17.49	80.21	2.3	72.68	14.48	3.56	0.2	0.22	0.15	0.13	2.47	0.72
3	14.36	69.11	16.53	83.54	8.69	2.09	0.22	0.2	0.28	0.15	1.2	0.59
3	22.61	73.18	4.21	60.28	16.77	11.71	0.22	0.2	0.21	0.21	2.58	0.74
2	22.98	73.38	3.64	59.13	20.8	7.18	0.21	0.19	0.27	0.13	2.77	0.78
